"","review","rating"
"1","Even though the plot was very well detailed,and the story line was understandable the fact that Steven Seagals voice was dubbed with some one else's through out most of the movie was distressing as you were unsure who was talking . There were many parts where he would start to talk in his deep raspy voice and then the next some one else's voice was doing the talking for him. I don't know the reason however if he had difficulty with his voice during production of the movie I think they could have re shot the events that did not contain his own voice when he had recovered. I have rated this movie 3 out of 10 based on the quality of the film. When one pays for a movie whether or not its at the theater or on DVD this movie was not worth the admission price that was charged. I have been a long time follower of Steven Seagal and all his movies that he has done over the past years.To date I think this is one of the worst ones we have seen yet",0
"2","At the time of writing this review it would seem that over 50% of IMDb voters had given this film a rating of either a 10 or a 1. I can only surmise then that those giving it a 10 were either cast or crew members. <br /><br />They say that given enough monkeys and enough time and enough typewriters, those monkeys, just by random proddings at the keyboard, would eventually type out the complete works of Shakespeare. However, I seriously doubt that given the same number of monkeys and time, you could find a single one to give this movie a rating of 10.<br /><br />I patiently watched the first half, foolishly assuming that the film would, on some level, develop either the plot or the characters, or maybe make some kind of social comment or provoke barely intellectual thought. Failing that, I was quite prepared to accept action, suspense, comedy, horror or even gratuitous sex as a way of holding my attention. Ultimately, I was disappointed and consequently, much of the second half was viewed at double speed as I searched in vain for some small snippet of cinematic redemption. Sadly, there was none.<br /><br />If ""The Choke"", was put up against an episode of Scooby Doo then I'm afraid the cartoon would win hands down in terms of mystery, intrigue and unpredictability. And speaking of cartoon characters, the acting abilities of the various cast members varied between acceptable (at best) and embarrassingly poor with Brooke Bailey's portrayal of the freaky, death obsessed pseudo goth, London, being so bad I almost felt sorry for her.<br /><br />I would have liked to have finished on a positive note but even the soundtrack, a second rate feast of contemporary punk rock, failed even to entertain, let alone serve to enhance a very poor flick.",0
"3","I wanted to like this film, yes its a SAW, blah blah blah ripoff but I like those films. If done well this had all the ingredients of being a good, not brilliant, but good film....unfortunately those ingredients had gone off! The acting was terrible, and this was first seen when the captives are introduced with their captor one by one (hoods taken off), the remarks and one liners are just terrible, yes I know, bad writing....but this is more than that, it was bad writing coupled with bad acting. Two of the captives had been in a relationship with each other and did not even acknowledge this until a lot further into the film.....<br /><br />Sorry, Im even wondering why I am bothering to review this movie at all.<br /><br />I will end with PLOT HOLES, PLOT HOLES & MORE PLOT HOLES! DISAPPOINTING!",0
"4","An Avent-garde nightmarish, extremely low-budget ""film"" that has delusions of grandeur. Hard to sit through. I get the message that child abuse is wrong. Wow big revelation. I had no clue it was wrong before viewing this. Yes that's sarcasm. DON'T watch this ""film"" if you're offended by nudity of either the male or female gender. DON'T watch it if you're the least bit squeamish. DON'T watch it if you care about acting. On second thought just DON'T watch it period.<br /><br />My grade: D-<br /><br />DVD Extras:making the movie , the premiere,interview with Kristie Bowersock, deleted scenes, movie stills, Director's commentary, 2 versions of the teaser trailer, music video by The Azoic, & a classroom video experiment",0
"5","I won't try to speculate as to what Brando was attempting. At his best he turns in such oddball performances, insinuating so many things at once, that it doesn't seem he does anything so much as play by unfailing instinct. Often it seems he is calling attention to some favored aspect of his character over all others, a concentration which, if followed, turns out something of a red herring, as he turns out subtler, craftier than at first appeared. This is a mastery of artifice, not naturalism, as might be associated with the Method. The role of Sky Masterson, as Mankiewicz so wonderfully realized, seems tailored for him, which is to begin with odd, and odd still at the end, because whatever it is Brando has done, he has managed a grace maybe all his own, but a consummate grace nonetheless -- again, odd, coming from an actor with limited musical ability, not ever before or after associated with the musical comedy. Jean Simmons, also oddly cast, is not quite as impressive, but certainly above just-adequate, really delightful in the Havana sequence, and never less than enjoyable throughout. <br /><br />And yet...perhaps because actors are both so concentrated on what it is they are doing, and characters on what it is they intend of each other, there doesn't seem to be the lovers' ""chemistry"" brought up so insistently more than once. Brando/Sky Masterson and Simmons/Sister Sarah respectively feed off one another well enough, but I for one don't see more beyond that. In a movie this outrightly dazzling and entertaining (and most everything about it, craft-wise, is just that -- dazzling), that lack would seem something tactfully and easily overlooked, but so much would depend upon true chemistry! An, at least partial, transformation of the characters through such chemistry, would lend something positively moving to the final scene. As it is, one leaves this film certainly delighted, but not really moved, except in a way as to negate the trueness of the union. Note Sister Sarah marries in her missionary's uniform, Sky Masterson in his same natty man-about-town duds rather than wedding tux. And they have changed back to those from their previous scene!<br /><br />Funnily enough (that is, insightfully), the most touching, and most serious, scene is, I think, between Brando and Vivian Blaine, as Sinatra/Nathan Detroit's doll, Adelaide, the only scene where these two are exclusively together, not least because there is just no hint of flirtation between them even though it takes place in Adelaide's dressing-room while Adelaide is about to change. Though one may submit there is no place for that, Sky really is the type to ""check out"" Adelaide in this sort of circumstance. He is even there to tell Adelaide Nathan will not be meeting her to elope. Adelaide and Sky are both true in their respective ways to Nathan, even piteous of him, as is demonstrated through a tone in their exchange. Adelaide is of course also frustrated and disappointed, but her anger is mitigated by her deeper feeling for Nathan, as Sky is admonishing her that she can't love a man and then wish him to be someone else.<br /><br />Guys and Dolls is another turn at the battle of the sexes, around the themes of gambling and salvation. Since both the compulsive gambler and the salvation seeker are more or less unconsciously courting despair, there just may be a dark secret deliberately behind Brando's and Simmons' lack of chemistry. After all, that lack may well denote an excess of narcissistic preoccupation (echoed by the Sinatra/Blaine pairing, though with considerably less self-deception involved), which might explain Brando's and Simmons' odd, rather provoking, interpretations of Sky Masterson and Sister Sarah. I realize Simmons may be mostly depicting coldness and skepticism, but Brando, though playing to confront her, isn't exactly heated and eager, and is more than keeping his distance -- he's also assimilating it, keeping his balance through it. His boldness consists in merely playing against her -- the trip to Cuba, a kiss, whatever it takes -- but he is not actually set on winning through seducing her so much as beating her then in her own turf. This may be shrewd, as playing to zeal may be the only way to get to the missionary, and through. But it makes Sky's transition from merely trying to win a bet to actually wanting Sarah Brown a little less than persuasive. Yet why does he want her? What does falling in love mean to Sky? I find the only way to get around this is by indeed accepting his humanity has kicked in, and that he does not want to end up a mere cad toward Sister Sarah, so he does, as he's promised her, need to deliver the sinners to her prayer meeting, make good by his ""marker,"" as he puts it, as a way of winning her back when it seems he had already won only to lose her. But this still denotes self-concern more than anything. However, it also allows for Sarah Brown's own self-concern, as Sky will placate the missionary in her in order to get back the lover. Neither, at least it seems, will change much by their union, except perhaps in the acceptance of the other. Yet that would seem an all but fatally uneasy proposition: acceptance of is still quite a cry away from achieving happiness in the other, let alone the transcendence they each seem to imply by ""chemistry."" And behind all this, I suspect is Mankiewicz's full knowing.<br /><br />For all those who might say, in defense of Guys and Dolls yet, that not much can be expected from musicals by way of depth, I need only remind them Cabaret, The Three-penny Opera, Carousel, A Star is Born, even The Sound of Music, which I don't care for as much (and one can keep adding to this list without even reaching forward toward post-Cabaret musicals), all wrap gorgeous music and dance around dire anxieties.",1
"6","This film is pure 'Hollywood hokum'. It is based upon a novel called 'Not Too Narrow <U+0085> Not Too Deep' by Richard Sale, which may or may not have been interesting; it would take research to find out! The story in the film takes for granted many incidents and much background which obviously existed in the novel but are nowhere to be seen in the film, so either the film was savagely cut or the screenplay was a mess from the start. There is not one millisecond in this film which is remotely realistic, either in terms of events or characters. It is pure Hollywood fantasy in every respect. Two well-known actors, Paul Lukas and Peter Lorre, are so under-used and wasted that there was no point in their being in the film at all. They must have been thrown into the mix in the manner in which one adds a sprinkling of chopped chives to an omelette, hoping that the flavour will be enhanced. The film is a ponderous attempt at producing a 'morality tale', and is so corny that it is laughable. The story concerns some hardened criminals imprisoned in French Guiana who want to escape from their French colonial prison through a jungle (very much a Hollywood set jungle, with a rubber snake). Naturally there has to be a woman in the story, so Joan Crawford hams it up as a down-on-her-luck tramp who for some reason becomes irresistible to Clark Gable, one of the escaped criminals. Crawford in escaping through the jungle wears high-heeled shoes and keeps her makeup fresh. Gable flirts and grimaces and makes mawkish expressions, crinkling his brow as was his wont, smirking and looking suggestively at everybody, which was his manner of acting. It is hard to treat such a character as a hardened criminal when he is always trying so hard to be Clark Gable that surely he hasn't any time left to be a thief. (Attention-seekers are by definition too busy to steal and unsuited to a task which requires that people NOT see them.) The whole escapade is so ridiculous that it can only be regarded as light entertainment. An attempt at religiosity and 'depth' is made by injecting into the story a mysterious 'angel of mercy' who voluntarily walks into the prison and pretends to be an inmate. He helps in the escape and accompanies all the criminals and ministers to their various deaths, helping them to find 'peace' in their last gasps. This character is played very well by Ian Hunter, who retains throughout a convincing air of secret knowledge, smiles enigmatically, makes cryptic prophetic remarks, and has a small spot trained on his face to give him a heavenly glow. The theme is meant to be redemption. You might call it the Donald Duck version of 'Hollywood Goes Moral and Gets Heavy'. For real depth, Hitchcock's 'I Confess' of 1953 shows how it should really be done. By contrast, this piece of trivial nonsense shows just how bare the cupboards of Meaning were in Tinsel Town, and that when they went rummaging for something that might mean something, all they could come up with was, you guessed it, more tinsel.",0
"7","I saw this Documentary at the Cannes Film Festival, in a small 200-seat Cinema at the top of the main building at the Cannes Film Festival.<br /><br />I absolutely was into it. I love the mix of awesomely made fictional scenes. It is amazing set-design. The scenes look really like they were filmed in 1920ies or 1930ies.<br /><br />And the music is so nice.<br /><br />I rate this experience 9/10.<br /><br />* spoilers ahead *<br /><br />The Documentary tells about awesome Blues-men, with black-and-white old-looking scenes of the black man playing the guitar and singing. It is really amazing. But this also mixes in new bands and that is maybe one thing I might dislike in this Documentary. It is the too abundant use of links to modern rock-bands playing those Blues songs in a modern way. I didn't really appreciate their trashed way of playing such awesome Blues songs. This is the same kind of un-perfect musical taste I found when watching Wim Wenders Buena Vista Social Club.<br /><br />The Documentary was such a standing-ovation at this first screening in the little cinema, that the next day this Documentary was shown for everyone and normal tourists on the beach of the Croisette at the open-air cinema. Though the sand, the quality of the projection and the bad quality of the sound probably made it a difficult experience to enjoy for the thousands of people who were sitting in the sand that night.",1
"8","Spoiler!!! This movie is based on the concept of What If? Of course Mr Destiny will be able to answer this question. The main character goes through a bad day, like many of us, and asks this question. Chaos Theory states a butterfly in China could have an effect on someone over here from a chain reaction. The focus of this movie is based on one event during a baseball game. This event sets into motion one's Destiny; Just like Ashton in ""The Butterfly effect"" except Mr. Destiny uses comedy over drama. The results make a fresh, somewhat original movie. If one's philosophical are in tune with ""The Butterfly Effect"" one will likely enjoy Mr. Destiny. I give it a 7 out of 10. Amazing for I have seen the first half of this movie 3 times, and finally watched the ending on TBS.",1
"9","The power to dream is a wonderful thing. There's a saying, ""Not all dreamers achieve, but all achievers dream."" By exploring our imagination we shape our own futures. Or build empires. Perhaps overcome our fears, limitations and obstacles. Gain wisdom and benefit mankind. Or (put simply) just find our way to true love and happiness. Freud might express such things in symbols. The language of fantasy.<br /><br />Tristan ventures out of a rather twee English village called Wall. He goes through a break in the wall. A portal. In search of something that will prove his love to Victoria (Sienna Miller). Victoria doesn't take him very seriously. So he pledges to bring back a falling star.<br /><br />Stormhold is the world outside the wall. He discovers the fallen star has taken the form of a beautiful girl, Yvaine (Claire Danes). To complicate matters, three evil witches want to get hold of Yvaine. If they can eat her heart, it will replenish their youth. (One of the witches is played by Michelle Pfeiffer, who does fabulous young-old transformations of looks and manner.) The 'good guy' they meet on their way is Captain Shakespeare (Robert de Niro). He has a fierce, swashbuckling pirate exterior but is a sweetie closet queen underneath. Heirs of Stormhold meanwhile are engaged in a pitched battle over inheriting the Kingdom. Ricky Gervais is an added extras. A buffoon trader throwing in standard Gervais-type gags well. Tristan's purity of spirit arouses the love of Yvaine, so there is a nice little triangle going. Till he achieves the maturity to discern pedestal divas from real women.<br /><br />Stardust is a full-on, large scale fantasy that does credit to its myriad stars. Wholly positive, and written with a clarity that makes it more worthy of psychoanalysis that a coven full of Harry Potter romps. Production values rival Hollywood, and the storyline is free of the racial stereotyping, misogyny, religious or class agendas than shape and pervert so many large scale fantasies.<br /><br />That is not to say that Stardust is without its faults. Plot and dialogue have many predictable elements, and the fairytale quality may be too saccharine for some audiences. But if you want an excuse to let your heart fly, this film may well provide it.<br /><br />As a boy, I remember listening in wonder to albums by the Moody Blues (who practiced in a house not far from where I lived). They made records with names like ""In Search of the Lost Chord,"" and wrote lyrics like, ""Thinking is the best way to travel."" I would fill my head with books on magic and mystery, from Timothy Leary to Aleister Crowley. Shaping dreams. Learning to make them real. Nowadays people might talk of NLP or positive thinking. Adults that remember how to dream with the force of youth but with the vision and application of maturity. Do you still enjoy that feeling?<br /><br />You are advised not to wait for Stardust on DVD. See it on the biggest cinema screen you can find. And Dolby Digital Surround Sound if you can get it. The actors look like they had a ball. Maybe you will too.",1
"10","Great screenplay and some of the best actors the world has ever produced. Montand gives the concept of the 'lone wolf' police detective a whole new dimension of intensity and, most importantly, credibility.<br /><br />When a typical Hollywood cop-heroe loses family, friends and pets to murder he is usually given his minute of grief. But when the sixty seconds are over, he pulls himself together, packs his gun and goes gleefully shooting up his enemies one by one.<br /><br />Montand's Marc Ferrot, however, is really devastated - by his girlfriends murder, of course, but also by finding out that she had another lover.In his confusion and wrath he does not seek revenge but needs to keep going to find the real perpetrator of a crime where his fingerprints are all over the scene. Thus all his actions become unescapably logical. This is the main reason why this movie glues us to our seats but definetely not the only one.",1
